,Make,Model,Speed [kts],Speed [mph],GPH,NMPG,MPG,Engine,Source,Seats,Seat NMPG
12,Vans,Vans RV-9A,155.8073968,179.3,6.8,22.912852470588200,,,CAFE Foundation,2,45.8257049411764
13,Vans,Vans RV-9A,150.50664320000000,173.2,6.4,23.516663000000000,,,CAFE Foundation,2,47.033326
14,Vans,Vans RV-9A,166.7564944,191.9,9.8,17.01596881632650,,,CAFE Foundation,2,34.031937632653
15,Vans,Vans RV-9A,167.5385728,192.8,9.7,17.272017814433000,,,CAFE Foundation,2,34.544035628866
16,Vans,Vans RV-9A,166.408904,191.5,9.1,18.286692747252700,,,CAFE Foundation,2,36.5733854945054
17,Vans,Vans RV-9A,163.4543856,188.1,7.5,21.79391808,,,CAFE Foundation,2,43.58783616
18,Vans,Vans RV-9A,156.06808960000000,179.6,6.1,25.584932721311500,,,CAFE Foundation,2,51.169865442623
19,Vans,Vans RV-9A,161.1081504,185.4,7.9,20.39343675949370,,,CAFE Foundation,2,40.7868735189874
20,Vans,Vans RV-9A,161.1081504,185.4,7.7,20.923136415584400,,,CAFE Foundation,2,41.8462728311688
21,Vans,Vans RV-9A,159.7177888,183.8,7.3,21.87914915068490,,,CAFE Foundation,2,43.7582983013698
22,Vans,Vans RV-9A,158.9357104,182.9,6.7,23.721747820895500,,,CAFE Foundation,2,47.443495641791
0,Lancair,Lancair IV-P,235.14490560000000,270.6,23.3,10.092056034334800,,,CAFE Foundation,4,40.3682241373392
1,Lancair,Lancair IV-P,236.1876768,271.8,22.6,10.450782159292000,,,CAFE Foundation,4,41.803128637168
2,Lancair,Lancair IV-P,248.8747264,286.4,21.7,11.468881400921700,,,CAFE Foundation,4,45.8755256036868
3,Lancair,Lancair IV-P,264.6900896,304.6,23.0,11.508264765217400,,,CAFE Foundation,4,46.0330590608696
4,Lancair,Lancair IV-P,275.89988,317.5,22.3,12.372191928251100,,,CAFE Foundation,4,49.4887677130044
5,Lancair,Lancair IV-P,286.327592,329.5,32.9,8.70296632218845,,,CAFE Foundation,4,34.8118652887538
6,Lancair,Lancair IV-P,278.94129600000000,321.0,25.1,11.113199043824700,,,CAFE Foundation,4,44.4527961752988
7,Lancair,Lancair IV-P,276.4212656,318.1,25.9,10.672635737451700,,,CAFE Foundation,4,42.6905429498068
0,Rutan,Rutan Long EZ,160,,,30,,,POH,2,60
1,Rutan,Rutan Long EZ,160,,,24,,,POH,2,48
2,Rutan,Rutan Long EZ,160,,,21,,,POH,2,42
3,Rutan,Rutan Long EZ,140,,,34,,,POH,2,68
4,Rutan,Rutan Long EZ,140,,,29,,,POH,2,58
5,Rutan,Rutan Long EZ,140,,,25,,,POH,2,50
6,Rutan,Rutan Long EZ,120,,,39,,,POH,2,78
7,Rutan,Rutan Long EZ,120,,,34,,,POH,2,68
8,Rutan,Rutan Long EZ,120,,,29,,,POH,2,58
9,Rutan,Rutan Long EZ,100,,,39,,,POH,2,78
10,Rutan,Rutan Long EZ,100,,,34,,,POH,2,68
0,Diamond,Diamond DA-62,170,,19.3,8.808290155440410,,,POH,7,61.6580310880829
1,Diamond,Diamond DA-62,154,,14.8,10.405405405405400,,,POH,7,72.8378378378378
2,Diamond,Diamond DA-62,140,,11.8,11.864406779661000,,,POH,7,83.050847457627
3,Diamond,Diamond DA-62,121,,9.0,13.444444444444400,,,POH,7,94.1111111111108
4,Diamond,Diamond DA-62,173,,19.3,8.963730569948190,,,POH,7,62.7461139896373
5,Diamond,Diamond DA-62,157,,14.8,10.608108108108100,,,POH,7,74.2567567567567
6,Diamond,Diamond DA-62,143,,11.8,12.118644067796600,,,POH,7,84.8305084745762
7,Diamond,Diamond DA-62,123,,9.0,13.666666666666700,,,POH,7,95.6666666666669
8,Diamond,Diamond DA-62,176,,19.3,9.119170984455960,,,POH,7,63.8341968911917
9,Diamond,Diamond DA-62,160,,14.8,10.81081081081080,,,POH,7,75.6756756756756
10,Diamond,Diamond DA-62,145,,11.8,12.288135593220300,,,POH,7,86.0169491525421
11,Diamond,Diamond DA-62,125,,9.0,13.88888888888890,,,POH,7,97.2222222222223
12,Diamond,Diamond DA-62,180,,19.3,9.32642487046632,,,POH,7,65.2849740932642
13,Diamond,Diamond DA-62,163,,14.8,11.013513513513500,,,POH,7,77.0945945945945
14,Diamond,Diamond DA-62,148,,11.8,12.54237288135590,,,POH,7,87.7966101694913
15,Diamond,Diamond DA-62,127,,9.0,14.11111111111110,,,POH,7,98.7777777777777
16,Diamond,Diamond DA-62,183,,19.3,9.481865284974090,,,POH,7,66.3730569948186
17,Diamond,Diamond DA-62,166,,14.8,11.216216216216200,,,POH,7,78.5135135135134
18,Diamond,Diamond DA-62,150,,11.8,12.711864406779700,,,POH,7,88.9830508474579
