,Make,Model,Speed [kts],Speed [mph],GPH,NMPG,MPG,Engine,Source
22,Diamond,Diamond DA-42,160,,14.5,11.03448275862069,,,POH
23,Diamond,Diamond DA-42,163,,16.6,9.819277108433734,,,POH
24,Diamond,Diamond DA-42,127,,7.5,16.933333333333334,,,POH
25,Diamond,Diamond DA-42,138,,8.8,15.68181818181818,,,POH
26,Diamond,Diamond DA-42,148,,10.5,14.095238095238095,,,POH
27,Diamond,Diamond DA-42,156,,12.5,12.48,,,POH
28,Diamond,Diamond DA-42,163,,14.5,11.241379310344827,,,POH
29,Diamond,Diamond DA-42,163,,16.6,9.819277108433734,,,POH
30,Diamond,Diamond DA-42,128,,7.5,17.066666666666666,,,POH
31,Diamond,Diamond DA-42,141,,8.8,16.02272727272727,,,POH
32,Diamond,Diamond DA-42,152,,10.5,14.476190476190476,,,POH
33,Diamond,Diamond DA-42,159,,12.5,12.72,,,POH
34,Diamond,Diamond DA-42,162,,14.5,11.172413793103448,,,POH
35,Diamond,Diamond DA-42,162,,16.6,9.759036144578312,,,POH
36,Diamond,Diamond DA-42,131,,7.5,17.466666666666665,,,POH
37,Diamond,Diamond DA-42,143,,8.8,16.25,,,POH
38,Diamond,Diamond DA-42,155,,10.5,14.761904761904763,,,POH
39,Diamond,Diamond DA-42,162,,12.5,12.96,,,POH
40,Diamond,Diamond DA-42,162,,14.5,11.172413793103448,,,POH
41,Diamond,Diamond DA-42,162,,16.6,9.759036144578312,,,POH
42,Diamond,Diamond DA-42,133,,7.5,17.733333333333334,,,POH
43,Diamond,Diamond DA-42,146,,8.8,16.59090909090909,,,POH
44,Diamond,Diamond DA-42,156,,10.5,14.857142857142858,,,POH
45,Diamond,Diamond DA-42,156,,12.5,12.48,,,POH
46,Diamond,Diamond DA-42,156,,14.5,10.758620689655173,,,POH
47,Diamond,Diamond DA-42,156,,16.6,9.397590361445783,,,POH
48,Diamond,Diamond DA-42,135,,7.5,18.0,,,POH
49,Diamond,Diamond DA-42,149,,8.8,16.93181818181818,,,POH
50,Diamond,Diamond DA-42,157,,10.5,14.952380952380953,,,POH
51,Diamond,Diamond DA-42,157,,12.5,12.56,,,POH
52,Diamond,Diamond DA-42,157,,14.5,10.827586206896552,,,POH
53,Diamond,Diamond DA-42,157,,16.6,9.457831325301203,,,POH
0,Sling,Sling TSI,135,,7.4,18.243243243243242,,,POH
1,Sling,Sling TSI,136,,7.4,18.37837837837838,,,POH
2,Sling,Sling TSI,138,,7.4,18.64864864864865,,,POH
3,Sling,Sling TSI,139,,7.4,18.783783783783782,,,POH
4,Sling,Sling TSI,141,,7.4,19.054054054054053,,,POH
5,Sling,Sling TSI,142,,7.4,19.18918918918919,,,POH
6,Sling,Sling TSI,143,,7.4,19.324324324324323,,,POH
7,Sling,Sling TSI,145,,7.4,19.594594594594593,,,POH
8,Sling,Sling TSI,146,,7.4,19.72972972972973,,,POH
9,Sling,Sling TSI,147,,7.4,19.864864864864863,,,POH
10,Sling,Sling TSI,149,,7.4,20.135135135135133,,,POH
11,Sling,Sling TSI,150,,7.4,20.27027027027027,,,POH
12,Sling,Sling TSI,152,,7.4,20.54054054054054,,,POH
13,Sling,Sling TSI,153,,7.4,20.675675675675674,,,POH
14,Sling,Sling TSI,154,,7.4,20.81081081081081,,,POH
15,Sling,Sling TSI,156,,7.4,21.08108108108108,,,POH
16,Sling,Sling TSI,157,,7.4,21.216216216216214,,,POH
17,Sling,Sling TSI,159,,7.4,21.486486486486484,,,POH
18,Sling,Sling TSI,160,,7.4,21.62162162162162,,,POH
19,Sling,Sling TSI,130,,7.13,18.2328190743338,,,POH
20,Sling,Sling TSI,131,,7.13,18.373071528751755,,,POH
21,Sling,Sling TSI,133,,7.13,18.65357643758766,,,POH
22,Sling,Sling TSI,134,,7.13,18.79382889200561,,,POH
23,Sling,Sling TSI,136,,7.13,19.074333800841515,,,POH
24,Sling,Sling TSI,137,,7.13,19.214586255259466,,,POH
25,Sling,Sling TSI,138,,7.13,19.35483870967742,,,POH
26,Sling,Sling TSI,140,,7.13,19.635343618513325,,,POH
27,Sling,Sling TSI,141,,7.13,19.775596072931275,,,POH
28,Sling,Sling TSI,142,,7.13,19.91584852734923,,,POH
29,Sling,Sling TSI,144,,7.13,20.196353436185134,,,POH
30,Sling,Sling TSI,145,,7.13,20.336605890603085,,,POH
31,Sling,Sling TSI,147,,7.13,20.61711079943899,,,POH
32,Sling,Sling TSI,148,,7.13,20.757363253856944,,,POH
33,Sling,Sling TSI,149,,7.13,20.897615708274895,,,POH
34,Sling,Sling TSI,151,,7.13,21.1781206171108,,,POH
35,Sling,Sling TSI,152,,7.13,21.318373071528754,,,POH
36,Sling,Sling TSI,154,,7.13,21.598877980364655,,,POH
37,Sling,Sling TSI,155,,7.13,21.73913043478261,,,POH
0,Mooney,Mooney M20J,156,,10.8,14.444444444444443,,,POH
1,Mooney,Mooney M20J,152,,10.3,14.757281553398057,,,POH
2,Mooney,Mooney M20J,147,,9.7,15.154639175257733,,,POH
3,Mooney,Mooney M20J,142,,9.2,15.434782608695654,,,POH
4,Mooney,Mooney M20J,136,,8.6,15.813953488372094,,,POH
5,Mooney,Mooney M20J,113,,7.0,16.142857142857142,,,POH
6,Mooney,Mooney M20J,156,,10.5,14.857142857142858,,,POH
7,Mooney,Mooney M20J,152,,10.0,15.2,,,POH
8,Mooney,Mooney M20J,142,,8.9,15.95505617977528,,,POH
9,Mooney,Mooney M20J,136,,8.3,16.385542168674696,,,POH
10,Mooney,Mooney M20J,130,,7.8,16.666666666666668,,,POH
11,Mooney,Mooney M20J,113,,6.8,16.61764705882353,,,POH
12,Mooney,Mooney M20J,156,,10.3,15.145631067961164,,,POH
13,Mooney,Mooney M20J,147,,9.2,15.978260869565219,,,POH
14,Mooney,Mooney M20J,136,,8.1,16.790123456790123,,,POH
15,Mooney,Mooney M20J,122,,7.0,17.428571428571427,,,POH
16,Mooney,Mooney M20J,111,,6.4,17.34375,,,POH
17,Mooney,Mooney M20J,150,,9.3,16.129032258064516,,,POH
18,Mooney,Mooney M20J,136,,7.8,17.435897435897438,,,POH
19,Mooney,Mooney M20J,130,,7.3,17.808219178082194,,,POH
20,Mooney,Mooney M20J,122,,6.8,17.941176470588236,,,POH
21,Mooney,Mooney M20J,106,,5.9,17.966101694915253,,,POH
22,Mooney,Mooney M20J,134,,7.4,18.10810810810811,,,POH
23,Mooney,Mooney M20J,130,,7.1,18.30985915492958,,,POH
24,Mooney,Mooney M20J,122,,6.5,18.76923076923077,,,POH
25,Mooney,Mooney M20J,103,,5.6,18.392857142857142,,,POH
0,DarkAero,DarkAero 1,238.9684,275,11,21.7244,,,Projected
1,DarkAero,DarkAero 1,221.58888,255,8,27.69861,,,Projected
0,Lancair,Lancair Legacy RG,200,,9.8,20.408163265306122,,,Pi In the Ski
1,Lancair,Lancair Legacy RG,220,,11.0,20.0,,,Pi In the Ski
2,Lancair,Lancair Legacy RG,230,,13.0,17.692307692307693,,,Pi In the Ski
0,Lancair,Lancair LX-7,250,,17.0,14.70588,,,https://www.youtube.com/watch?v=j6e_bmpvbQQ
1,Lancair,Lancair LX-7,260,,24.0,10.83333,,,https://www.youtube.com/watch?v=j6e_bmpvbQQ
2,Lancair,Lancair LX-7,235,,17.0,13.823534,,,https://www.youtube.com/watch?v=j6e_bmpvbQQ
3,Lancair,Lancair LX-7,242,,17.0,14.235294,,,https://www.youtube.com/watch?v=j6e_bmpvbQQ
